File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(5) Mixed Forests,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015103_aid0001,aid0001,4/13/15,734,694,126,1692,572,36,752,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015104_aid0001,aid0001,4/14/15,791,789,219,1655,548,31,746,22,63,21,132
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015105_aid0001,aid0001,4/15/15,797,875,156,1662,519,42,755,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015106_aid0001,aid0001,4/16/15,646,620,165,1157,294,33,681,20,60,21,109
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015107_aid0001,aid0001,4/17/15,781,861,221,1655,537,34,726,22,71,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015108_aid0001,aid0001,4/18/15,780,788,116,1670,553,40,757,1,64,14,116
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015109_aid0001,aid0001,4/19/15,724,577,195,1525,558,24,612,,51,19,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015110_aid0001,aid0001,4/20/15,789,894,201,1637,518,41,749,22,60,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015111_aid0001,aid0001,4/21/15,682,683,126,1305,323,36,722,4,61,22,101
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015112_aid0001,aid0001,4/22/15,790,788,220,1654,548,31,745,22,63,21,132
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015113_aid0001,aid0001,4/23/15,756,861,153,1494,244,42,715,15,65,14,71
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015114_aid0001,aid0001,4/24/15,768,635,169,1648,558,33,767,20,59,21,128
