File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(3) Deciduous Needleleaf Forests,(5) Mixed Forests,(6) Closed Shrublands,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice,(16) Barren,(99) NA
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015173_aid0001,aid0001,6/22/15,897,221,45,222,3,472,490,540,811,210,39,7,110,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015174_aid0001,aid0001,6/23/15,953,204,47,246,3,466,559,546,777,237,32,4,124,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015175_aid0001,aid0001,6/24/15,916,198,40,231,3,456,518,544,798,181,25,6,60,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015176_aid0001,aid0001,6/25/15,959,215,46,231,3,450,499,533,799,233,42,7,126,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015177_aid0001,aid0001,6/26/15,964,201,46,269,1,458,550,528,788,227,34,2,105,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015178_aid0001,aid0001,6/27/15,872,206,46,212,3,471,498,548,819,161,30,7,79,436,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015179_aid0001,aid0001,6/28/15,938,220,46,253,2,445,532,529,796,250,38,8,136,429,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015180_aid0001,aid0001,6/29/15,939,199,42,257,2,449,546,525,784,203,31,3,67,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015181_aid0001,aid0001,6/30/15,895,221,45,220,3,472,491,540,811,210,39,7,109,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015182_aid0001,aid0001,7/1/15,950,204,47,248,3,465,558,547,778,236,32,4,124,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015183_aid0001,aid0001,7/2/15,915,198,40,232,3,456,519,544,798,182,25,6,59,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015184_aid0001,aid0001,7/3/15,959,219,46,230,3,449,499,533,802,233,43,7,127,439,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015185_aid0001,aid0001,7/4/15,964,201,46,267,1,457,550,528,786,228,34,2,105,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015186_aid0001,aid0001,7/5/15,869,205,46,213,3,472,496,549,821,161,30,7,79,436,370,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015187_aid0001,aid0001,7/6/15,892,218,46,231,2,443,522,526,792,229,38,8,134,429,371,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015188_aid0001,aid0001,7/7/15,926,193,43,249,2,429,514,510,774,199,31,3,68,411,346,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015189_aid0001,aid0001,7/8/15,896,221,45,221,3,471,492,542,811,210,39,7,110,433,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015190_aid0001,aid0001,7/9/15,953,203,47,248,3,464,558,547,780,237,32,4,124,433,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015191_aid0001,aid0001,7/10/15,916,198,40,233,3,455,518,543,799,182,25,6,59,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015192_aid0001,aid0001,7/11/15,959,220,46,230,3,451,498,533,802,232,43,7,127,439,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015193_aid0001,aid0001,7/12/15,966,202,46,267,1,456,551,528,790,228,33,2,106,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015194_aid0001,aid0001,7/13/15,608,54,13,101,,152,183,216,305,92,30,7,78,213,244,13
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015195_aid0001,aid0001,7/14/15,783,84,18,179,,247,332,282,382,196,38,8,135,297,323,15
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015196_aid0001,aid0001,7/15/15,941,197,43,256,2,451,546,525,785,205,31,3,68,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015197_aid0001,aid0001,7/16/15,786,142,42,141,,342,370,431,583,165,39,7,107,350,354,20
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015198_aid0001,aid0001,7/17/15,952,204,47,249,3,463,555,546,780,238,31,4,124,433,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015199_aid0001,aid0001,7/18/15,918,198,39,235,3,455,519,543,797,184,25,6,59,424,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015200_aid0001,aid0001,7/19/15,956,220,46,229,3,452,499,533,801,232,43,7,126,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015201_aid0001,aid0001,7/20/15,968,203,46,265,1,459,551,531,788,227,33,2,106,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015202_aid0001,aid0001,7/21/15,871,202,45,216,3,473,496,549,818,161,30,7,78,436,370,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015203_aid0001,aid0001,7/22/15,939,221,46,249,2,443,530,527,801,252,39,8,135,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015204_aid0001,aid0001,7/23/15,941,198,44,254,1,451,550,526,783,206,31,3,69,427,373,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015205_aid0001,aid0001,7/24/15,890,221,45,220,3,472,492,543,814,207,38,7,107,432,373,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015206_aid0001,aid0001,7/25/15,951,205,47,250,3,461,554,546,781,239,31,4,126,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015207_aid0001,aid0001,7/26/15,917,198,39,236,3,453,518,542,798,185,25,6,59,425,362,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015208_aid0001,aid0001,7/27/15,956,220,46,227,3,455,498,534,802,231,43,7,126,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015209_aid0001,aid0001,7/28/15,838,84,27,196,,294,410,329,440,178,33,2,106,336,350,16
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015210_aid0001,aid0001,7/29/15,872,201,44,217,3,474,499,549,817,161,30,7,77,435,369,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015211_aid0001,aid0001,7/30/15,938,223,46,248,2,445,528,527,799,253,39,8,135,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015212_aid0001,aid0001,7/31/15,942,198,45,254,1,453,548,527,782,206,31,3,69,427,373,51
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015213_aid0001,aid0001,8/1/15,890,221,45,221,3,473,493,545,813,207,38,7,107,432,373,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015214_aid0001,aid0001,8/2/15,950,205,47,250,3,461,554,548,781,239,31,4,126,433,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015215_aid0001,aid0001,8/3/15,917,198,39,236,3,454,517,542,798,186,25,6,59,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015216_aid0001,aid0001,8/4/15,854,152,43,167,,343,395,449,600,189,43,7,125,363,363,21
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015217_aid0001,aid0001,8/5/15,968,202,46,265,1,461,550,531,788,228,33,2,106,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015218_aid0001,aid0001,8/6/15,873,202,45,219,3,474,496,550,818,162,30,7,77,436,370,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015219_aid0001,aid0001,8/7/15,939,222,46,249,2,443,529,527,800,252,39,8,135,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015220_aid0001,aid0001,8/8/15,940,198,44,255,2,452,549,526,786,205,31,3,69,427,373,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015221_aid0001,aid0001,8/9/15,893,221,45,220,3,472,494,543,814,207,39,7,108,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015222_aid0001,aid0001,8/10/15,951,205,47,249,3,463,556,547,780,239,31,4,126,433,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015223_aid0001,aid0001,8/11/15,918,198,39,235,3,455,520,542,797,184,25,6,59,424,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015224_aid0001,aid0001,8/12/15,956,220,46,230,3,450,499,534,802,232,43,7,126,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015225_aid0001,aid0001,8/13/15,967,203,46,266,1,456,552,530,788,227,33,2,106,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015226_aid0001,aid0001,8/14/15,873,203,46,214,3,474,496,548,820,163,30,7,79,436,370,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015227_aid0001,aid0001,8/15/15,940,221,46,250,2,445,531,528,800,252,38,8,135,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015228_aid0001,aid0001,8/16/15,408,159,40,147,2,334,340,347,616,76,7,,28,342,223,20
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015229_aid0001,aid0001,8/17/15,896,221,45,221,3,471,492,543,813,210,39,7,108,432,373,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015230_aid0001,aid0001,8/18/15,953,204,47,250,3,463,556,547,781,237,32,4,124,433,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015231_aid0001,aid0001,8/19/15,916,197,40,234,3,457,518,544,798,181,25,6,60,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015232_aid0001,aid0001,8/20/15,959,219,46,230,3,451,500,533,803,232,43,7,127,439,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015233_aid0001,aid0001,8/21/15,965,201,46,267,1,458,551,528,791,228,34,2,106,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015234_aid0001,aid0001,8/22/15,869,206,46,212,3,471,497,549,821,162,30,7,79,436,370,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015235_aid0001,aid0001,8/23/15,939,221,46,250,2,446,532,529,798,250,38,8,136,429,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015236_aid0001,aid0001,8/24/15,826,80,31,172,,305,409,347,483,169,32,3,66,336,351,14
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015237_aid0001,aid0001,8/25/15,897,221,45,220,3,472,493,540,813,210,39,7,110,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015238_aid0001,aid0001,8/26/15,952,205,47,248,3,466,559,546,778,237,32,4,124,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015239_aid0001,aid0001,8/27/15,917,198,40,232,3,457,520,544,799,182,25,6,59,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015240_aid0001,aid0001,8/28/15,950,219,45,230,3,449,494,519,797,230,43,7,126,436,372,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015241_aid0001,aid0001,8/29/15,966,202,46,269,1,458,550,527,789,228,34,2,105,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015242_aid0001,aid0001,8/30/15,872,206,46,212,3,473,498,549,819,162,31,7,79,437,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015243_aid0001,aid0001,8/31/15,937,220,46,254,2,445,532,529,798,250,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015244_aid0001,aid0001,9/1/15,937,199,42,256,3,450,547,525,781,205,32,3,66,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015245_aid0001,aid0001,9/2/15,899,221,45,224,3,472,492,540,810,211,39,7,111,432,367,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015246_aid0001,aid0001,9/3/15,953,204,47,247,3,467,560,546,779,236,32,4,125,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015247_aid0001,aid0001,9/4/15,918,197,40,231,3,456,520,544,799,181,25,6,61,425,362,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015248_aid0001,aid0001,9/5/15,959,219,46,233,3,450,501,532,802,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015249_aid0001,aid0001,9/6/15,967,203,46,267,1,458,551,526,787,226,35,2,103,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015250_aid0001,aid0001,9/7/15,785,114,41,129,,357,390,418,582,129,31,7,79,362,354,37
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015251_aid0001,aid0001,9/8/15,938,219,46,257,2,443,533,532,792,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015252_aid0001,aid0001,9/9/15,936,199,42,256,3,450,546,526,783,204,32,4,65,426,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015253_aid0001,aid0001,9/10/15,898,221,45,223,3,471,493,539,810,213,39,7,112,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015254_aid0001,aid0001,9/11/15,954,204,47,248,3,467,558,544,779,235,32,4,125,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015255_aid0001,aid0001,9/12/15,914,196,40,231,3,456,520,545,802,181,25,6,60,425,360,46
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015256_aid0001,aid0001,9/13/15,960,220,46,234,3,449,503,534,801,234,42,7,127,437,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015257_aid0001,aid0001,9/14/15,962,204,46,267,1,458,553,526,785,225,35,2,102,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015258_aid0001,aid0001,9/15/15,873,207,46,213,3,473,497,546,819,164,31,7,82,438,372,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015259_aid0001,aid0001,9/16/15,939,219,46,257,2,443,531,532,791,250,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015260_aid0001,aid0001,9/17/15,935,201,42,255,3,449,545,527,785,203,33,4,64,426,373,48
