File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018119_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/29/18,69893,0.31,1.5649,"(0.31,1.5649)",1.2437,0.2459,0.0605,1.3602,1.5221,1.34,1.0885,1.2515
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018120_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/30/18,72791,0.31,1.5649,"(0.31,1.5649)",1.2221,0.2828,0.08,1.3623,1.5307,1.34,1.0816,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018121_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/1/18,72954,0.31,1.5649,"(0.31,1.5649)",1.2361,0.2632,0.0693,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018122_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/2/18,69497,0.31,1.5649,"(0.31,1.5649)",1.2461,0.2435,0.0593,1.361,1.5151,1.34,1.104,1.2582
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018123_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/3/18,73257,0.31,1.5649,"(0.31,1.5649)",1.2201,0.285,0.0812,1.3629,1.5346,1.34,1.0736,1.2471
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018124_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/4/18,70992,0.31,1.5649,"(0.31,1.5649)",1.2412,0.2533,0.0641,1.3622,1.5296,1.34,1.0819,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018125_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/5/18,71200,0.31,1.5649,"(0.31,1.5649)",1.2344,0.2632,0.0693,1.3621,1.5235,1.34,1.0929,1.2545
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018126_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/6/18,73427,0.31,1.5649,"(0.31,1.5649)",1.2265,0.2769,0.0766,1.3632,1.5322,1.34,1.0791,1.2494
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018127_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/7/18,69876,0.31,1.5649,"(0.31,1.5649)",1.2438,0.2458,0.0604,1.3602,1.5221,1.34,1.0885,1.2515
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018128_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/8/18,72797,0.31,1.5649,"(0.31,1.5649)",1.2221,0.2827,0.0799,1.3623,1.5307,1.34,1.0816,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018129_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/9/18,72965,0.31,1.5649,"(0.31,1.5649)",1.236,0.2633,0.0693,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018130_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/10/18,69472,0.31,1.5649,"(0.31,1.5649)",1.2461,0.2434,0.0592,1.361,1.5151,1.34,1.1039,1.2581
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018131_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/11/18,73258,0.31,1.5649,"(0.31,1.5649)",1.2202,0.2849,0.0812,1.3629,1.5346,1.34,1.0738,1.2473
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018132_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/12/18,71033,0.31,1.5649,"(0.31,1.5649)",1.2413,0.2531,0.0641,1.3622,1.5296,1.34,1.0821,1.2502
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018133_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/13/18,71192,0.31,1.5649,"(0.31,1.5649)",1.2345,0.2631,0.0692,1.3621,1.5235,1.34,1.0929,1.2545
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018134_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/14/18,73401,0.31,1.5649,"(0.31,1.5649)",1.2265,0.2769,0.0767,1.3632,1.5322,1.34,1.0791,1.2495
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018135_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/15/18,69872,0.31,1.5649,"(0.31,1.5649)",1.2436,0.2459,0.0605,1.3602,1.5221,1.34,1.0884,1.2514
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018136_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/16/18,72768,0.31,1.5649,"(0.31,1.5649)",1.2222,0.2827,0.0799,1.3623,1.5307,1.34,1.0816,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018137_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/17/18,72966,0.31,1.5649,"(0.31,1.5649)",1.236,0.2633,0.0693,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018138_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/18/18,54775,0.31,1.5649,"(0.31,1.5649)",1.2422,0.2676,0.0716,1.3707,1.5371,1.34,1.0857,1.2566
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018139_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/19/18,73278,0.31,1.5649,"(0.31,1.5649)",1.2202,0.2849,0.0812,1.3629,1.5346,1.34,1.0738,1.2472
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018140_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/20/18,71051,0.31,1.5649,"(0.31,1.5649)",1.2412,0.2532,0.0641,1.3622,1.5296,1.34,1.082,1.2501
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018141_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/21/18,71166,0.31,1.5649,"(0.31,1.5649)",1.2346,0.2629,0.0691,1.3621,1.5235,1.34,1.0931,1.2545
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018142_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/22/18,46967,0.31,1.5649,"(0.31,1.5649)",1.2314,0.2536,0.0643,1.3558,1.5426,1.33,1.0437,1.2309
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018143_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/23/18,69890,0.31,1.5649,"(0.31,1.5649)",1.2437,0.2458,0.0604,1.3602,1.5221,1.34,1.0884,1.2515
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018144_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/24/18,72782,0.31,1.5649,"(0.31,1.5649)",1.2223,0.2826,0.0799,1.3623,1.5307,1.34,1.0816,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018145_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/25/18,73033,0.31,1.5649,"(0.31,1.5649)",1.2359,0.2634,0.0694,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018146_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/26/18,69503,0.31,1.5649,"(0.31,1.5649)",1.2464,0.2429,0.059,1.361,1.5144,1.34,1.1048,1.2585
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018147_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/27/18,73302,0.31,1.5649,"(0.31,1.5649)",1.2201,0.285,0.0812,1.3629,1.5346,1.34,1.0736,1.2471
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018148_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/28/18,71062,0.31,1.5649,"(0.31,1.5649)",1.2412,0.2533,0.0641,1.3622,1.5296,1.34,1.0821,1.2501
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018149_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/29/18,71155,0.31,1.5649,"(0.31,1.5649)",1.2348,0.2627,0.069,1.3621,1.5221,1.34,1.0933,1.2546
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018150_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/30/18,73422,0.31,1.5649,"(0.31,1.5649)",1.2265,0.2769,0.0767,1.3632,1.5322,1.34,1.0791,1.2495
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018151_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,5/31/18,69893,0.31,1.5649,"(0.31,1.5649)",1.2437,0.2459,0.0605,1.3602,1.5221,1.34,1.0884,1.2514
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018152_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/1/18,72772,0.31,1.5649,"(0.31,1.5649)",1.2225,0.2824,0.0797,1.3624,1.5307,1.34,1.0817,1.2501
